[ERROR] 203.66.211.140   => 219.71.233.206  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 112.223.191.62  	 real_cnt=2    	 estimate = 44.0  
[ERROR] 131.31.129.40    => 172.39.49.203   	 real_cnt=18   	 estimate = 0.0   
[PASS]  203.66.211.140   => 153.107.215.227 	 real_cnt=2    	 estimate = 2.0   
[PASS]  202.248.245.131  => 3.107.182.73    	 real_cnt=4    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 123.32.5.34     	 real_cnt=2    	 estimate = 6.0   
[PASS]  133.164.192.179  => 114.156.22.199  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.227.95.226   => 180.6.145.6     	 real_cnt=2    	 estimate = 0.0   
[ERROR] 34.83.35.161     => 203.66.193.201  	 real_cnt=2    	 estimate = 32.0  
[ERROR] 203.66.211.140   => 121.173.33.20   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 133.189.94.69    => 39.98.237.129   	 real_cnt=6    	 estimate = 4.0   
[ERROR] 172.39.225.143   => 131.30.33.37    	 real_cnt=2    	 estimate = 26.0  
[ERROR] 163.221.144.17   => 13.115.167.58   	 real_cnt=6    	 estimate = 4.0   
[ERROR] 114.156.22.208   => 203.66.228.59   	 real_cnt=2    	 estimate = 8.0   
[ERROR] 106.122.163.206  => 203.66.211.140  	 real_cnt=2    	 estimate = 10.0  
[PASS]  203.66.211.140   => 122.140.146.196 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.193.201   => 13.113.23.214   	 real_cnt=4    	 estimate = 8.0   
[ERROR] 131.219.62.150   => 203.66.193.242  	 real_cnt=2    	 estimate = 16.0  
[ERROR] 203.66.211.140   => 125.216.159.44  	 real_cnt=2    	 estimate = 8.0   
[PASS]  203.66.211.140   => 119.225.231.113 	 real_cnt=2    	 estimate = 2.0   
[PASS]  203.66.211.140   => 156.116.162.49  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 119.116.173.63  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 131.31.155.34    => 35.50.34.158    	 real_cnt=2    	 estimate = 4.0   
